timestamp_utc,frame_idx,ear,is_eye_closed,perclos,blink_count
2025-09-27T13:02:58.461362,93,0.3140,0,0.1075,1
2025-09-27T13:02:58.527741,94,0.3274,0,0.1064,1
2025-09-27T13:02:58.573993,95,0.3325,0,0.1053,1
2025-09-27T13:02:58.619269,96,0.3257,0,0.1042,1
2025-09-27T13:02:58.692618,97,0.3353,0,0.1031,1
2025-09-27T13:02:58.709799,98,0.3164,0,0.1020,1
2025-09-27T13:02:58.762721,99,0.3266,0,0.1010,1
2025-09-27T13:02:58.812494,100,0.3266,0,0.1000,1
2025-09-27T13:02:58.858451,101,0.3088,0,0.0990,1
2025-09-27T13:02:58.908142,102,0.3147,0,0.0980,1
2025-09-27T13:02:58.972601,103,0.3134,0,0.0971,1
2025-09-27T13:02:59.045030,104,0.3272,0,0.0962,1
2025-09-27T13:02:59.067906,105,0.3178,0,0.0952,1
2025-09-27T13:02:59.117075,106,0.3353,0,0.0943,1
2025-09-27T13:02:59.165233,107,0.3354,0,0.0935,1
2025-09-27T13:02:59.212101,108,0.3357,0,0.0926,1
2025-09-27T13:02:59.255179,109,0.3165,0,0.0917,1
2025-09-27T13:02:59.309662,110,0.3055,0,0.0909,1
2025-09-27T13:02:59.373054,111,0.3077,0,0.0901,1
2025-09-27T13:02:59.443353,112,0.2991,0,0.0893,1
2025-09-27T13:02:59.487751,113,0.3156,0,0.0885,1
2025-09-27T13:02:59.525460,114,0.3168,0,0.0877,1
2025-09-27T13:02:59.588286,115,0.3021,0,0.0870,1
2025-09-27T13:02:59.630905,116,0.3315,0,0.0862,1
2025-09-27T13:02:59.684688,117,0.3227,0,0.0855,1
2025-09-27T13:02:59.732470,118,0.3128,0,0.0847,1
2025-09-27T13:02:59.775630,119,0.3190,0,0.0840,1
2025-09-27T13:02:59.829305,120,0.3104,0,0.0833,1
2025-09-27T13:02:59.890447,121,0.3098,0,0.0826,1
2025-09-27T13:02:59.938686,122,0.3039,0,0.0820,1
2025-09-27T13:02:59.958730,123,0.3132,0,0.0813,1
